cafe_name	name	dessert_tag	price	image_url
스타벅스 강남R점	디카페인 카페 아메리카노	NULL	4,800원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FCA0F634BDDCD476ABF296D2C8A2CD08E
스타벅스 강남R점	디카페인 카페 라떼	NULL	5,300원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD4AAE5508D3F4338AD9DE0779A45F213
스타벅스 강남R점	제주 말차 라떼	NULL	6,100원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F55BB8D30CFD441DC9B5B2AA8AB4FFA0D
스타벅스 강남R점	돌체 콜드 브루	NULL	6,000원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1747826DB8AE4DAFA836E17B97A28AD6
쉼스토리	아메리카노	NULL	NULL	NULL
쉼스토리	카모마일	NULL	NULL	NULL
쉼스토리	루이보스	NULL	NULL	NULL
쉼스토리	페퍼민트	NULL	NULL	NULL
쉼스토리	국화차	NULL	NULL	NULL
더달달	리얼클래식	NULL	7,000원	NULL
더달달	달달클래식	NULL	7,000원	NULL
더달달	민트	NULL	7,500원	NULL
더달달	유자	NULL	7,500원	NULL
더달달	시나몬	NULL	7,500원	NULL
더달달	오레오	NULL	7,500원	NULL
더달달	달달모카스무디	NULL	8,000원	NULL
더달달	베리베리초코스무디	NULL	8,000원	NULL
더달달	달달초코스무디	NULL	7,500원	NULL
더달달	아메리카노	NULL	5,500원	NULL
더달달	카페라떼	NULL	6,000원	NULL
더달달	마카다미아라떼	NULL	6,500원	NULL
더달달	달달카페모카	NULL	7,500원	NULL
더달달	더치커피	NULL	6,500원	NULL
더달달	더치라떼	NULL	7,000원	NULL
더달달	밀크티	NULL	7,000원	NULL
더달달	녹차라떼	NULL	7,000원	NULL
더달달	얼그레이	NULL	6,500원	NULL
더달달	믹스베리	NULL	6,500원	NULL
더달달	유자차	NULL	7,000원	NULL
더달달	허니자몽티	NULL	7,500원	NULL
더달달	허니레몬티	NULL	7,500원	NULL
더달달	청포도	NULL	7,500원	NULL
더달달	자몽	NULL	7,500원	NULL
더달달	딸기	NULL	7,500원	NULL
더달달	딸기바나나	NULL	8,000원	NULL
더달달	딸기블루베리	NULL	8,000원	NULL
더달달	딸기라떼	NULL	7,500원	NULL
더달달	블루베리라떼	NULL	7,500원	NULL
더달달	녹차바나나스무디	NULL	7,500원	NULL
더달달	오렌지자몽	NULL	8,000원	NULL
더달달	자몽에이드	NULL	7,500원	NULL
더달달	레몬에이드	NULL	7,500원	NULL
더달달	오렌지에이드	NULL	7,500원	NULL
비트포비아 강남던전점	LOST KINGDOM : 잊혀진전설	NULL	25,000원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F8078DC931CB94C8E8091CEB6DA494729
비트포비아 강남던전점	마음을 그려드립니다	NULL	25,000원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F17FAB92EDD084CC59E766B81B066A48A
비트포비아 강남던전점	대호시장 살인사건	NULL	25,000원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD160FAEFD6004922B261335912CC2AF6
비트포비아 강남던전점	강남목욕탕	NULL	25,000원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FC11E2CE840F44EEEB246DCC8DBCA4CEB
크리에잇쿠키 역삼점	아메리카노	NULL	4,000원	NULL
크리에잇쿠키 역삼점	라떼	NULL	4,500원	NULL
크리에잇쿠키 역삼점	카푸치노	NULL	4,500원	NULL
크리에잇쿠키 역삼점	바닐라라떼	NULL	5,000원	NULL
크리에잇쿠키 역삼점	쿠키라떼	구움과자	6,000원	NULL
크리에잇쿠키 역삼점	사과유자티(only hot)	NULL	6,000원	NULL
크리에잇쿠키 역삼점	사과유자에이드	NULL	6,500원	NULL
크리에잇쿠키 역삼점	히비스커스티 레모네이드	NULL	5,500원	NULL
크리에잇쿠키 역삼점	허브티	NULL	5,500원	NULL
로얄마카롱	로얄크리미카노	NULL	4,500원	NULL
로얄마카롱	아메리카노	NULL	3,000원	NULL
로얄마카롱	카페라떼	NULL	3,500원	NULL
로얄마카롱	바닐라라떼바	NULL	3,800원	NULL
로얄마카롱	샷 그린티라떼	NULL	4,800원	NULL
로브니	Americano	NULL	4,500원	NULL
로브니	Cafe Latte	NULL	5,500원	NULL
로브니	Vanilla Latte	NULL	6,000원	NULL
로브니	Royal Milk Tea	NULL	6,000원	NULL
로브니	산펠레그리노 자몽(300ml)	NULL	4,000원	NULL
브라운홀릭	아메리카노	NULL	5,500원	NULL
브라운홀릭	카페라떼	NULL	6,900원	NULL
